$GPRMC,080000.00,A,40.7128,-N,74.0059,-W,0.00,0.0,170524,000.0,M,N*77 
$GPRMC,080001.00,A,40.7128,-N,74.0060,-W,0.01,0.5,170524,000.0,M,N*74 
$GPRMC,080002.00,A,40.7127,-N,74.0061,-W,0.02,1.0,170524,000.0,M,N*71 
$GPRMC,080003.00,A,40.7127,-N,74.0060,-W,0.02,0.8,170524,000.0,M,N*68 
$GPRMC,080004.00,A,40.7128,-N,74.0059,-W,0.01,0.3,170524,000.0,M,N*65
$GPRMC,080005.00,A,40.7128,-N,74.0058,-W,0.00,0.0,170524,000.0,M,N*62 
$GPRMC,080006.00,A,40.7127,-N,74.0059,-W,0.01,0.2,170524,000.0,M,N*59 
$GPRMC,080007.00,A,40.7127,-N,74.0060,-W,0.02,0.7,170524,000.0,M,N*56 
$GPRMC,080008.00,A,40.7128,-N,74.0061,-W,0.03,1.2,170524,000.0,M,N*53 
$GPRMC,080009.00,A,40.7128,-N,74.0060,-W,0.02,0.9,170524,000.0,M,N*50 
$GPRMC,080010.00,A,40.7127,-N,74.0059,-W,0.01,0.4,170524,000.0,M,N*47 
$GPRMC,080011.00,A,40.7127,-N,74.0058,-W,0.00,0.0,170524,000.0,M,N*44 
$GPRMC,080012.00,A,40.7128,-N,74.0059,-W,0.01,0.1,170524,000.0,M,N*41 
$GPRMC,080013.00,A,40.7128,-N,74.0060,-W,0.02,0.6,170524,000.0,M,N*38 
$GPRMC,080014.00,A,40.7127,-N,74.0061,-W,0.03,1.1,170524,000.0,M,N*35
